"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Product Listing and Cart Functionality","3","0","Add and remove single product from cart","0"
"0","","0","Cart Functionality","2","0","User can remove a product from the cart","0"
"0","","0","Checkout - Your Information Step","1","0","User completes checkout information with valid data","0"
"0","","0","Cart Functionality","1","0","Cart is empty if no product is added","0"
"0","","0","Cart Functionality","2","0","User can add a product to the cart and see correct details","0"
"0","","0","Checkout Overview - Order Summary Validations","2","0","The checkout overview calculations should be correct for various carts","0"
"0","","0","Login Functionality","1","0","Login with empty username","0"
"0","","0","Checkout Overview - Order Summary Validations","1","0","The correct products are listed in the order summary","0"
"0","","0","Checkout Overview - Order Summary Validations","1","0","The payment information should be correct","0"
"0","","0","Login Functionality","1","0","Login with locked out user","0"
"0","","0","Checkout Overview - Order Summary Validations","1","0","The shipping information should be correct","0"
"0","","0","Login Functionality","1","0","Login with wrong username and password","0"
"0","","0","Login Functionality","1","0","Login with empty password","0"
"0","","0","Login Functionality","1","0","Login with standard user","0"
"0","","0","Checkout Overview - Order Summary Validations","1","0","User should be able to complete the order","0"
