"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14512","Add and remove single product from cart","","Tue Jun 10 09:45:30 CEST 2025","passed","Tue Jun 10 09:45:44 CEST 2025","","Product Listing and Cart Functionality","Add and remove single product from cart",""
"","11238","User can remove a product from the cart","","Tue Jun 10 09:42:47 CEST 2025","passed","Tue Jun 10 09:42:58 CEST 2025","","Cart Functionality","User can remove a product from the cart",""
"","12875","User completes checkout information with valid data","","Tue Jun 10 09:43:18 CEST 2025","passed","Tue Jun 10 09:43:31 CEST 2025","","Checkout - Your Information Step","User completes checkout information with valid data",""
"","11277","User can remove a product from the cart","","Tue Jun 10 09:42:58 CEST 2025","passed","Tue Jun 10 09:43:09 CEST 2025","","Cart Functionality","User can remove a product from the cart",""
"","8987","Cart is empty if no product is added","","Tue Jun 10 09:43:09 CEST 2025","passed","Tue Jun 10 09:43:18 CEST 2025","","Cart Functionality","Cart is empty if no product is added",""
"","9492","User can add a product to the cart and see correct details","","Tue Jun 10 09:42:29 CEST 2025","passed","Tue Jun 10 09:42:38 CEST 2025","","Cart Functionality","User can add a product to the cart and see correct details",""
"","15342","The checkout overview calculations should be correct for various carts","","Tue Jun 10 09:43:46 CEST 2025","passed","Tue Jun 10 09:44:02 CEST 2025","","Checkout Overview - Order Summary Validations","The checkout overview calculations should be correct for various carts",""
"","3610","Login with empty username","","Tue Jun 10 09:45:08 CEST 2025","passed","Tue Jun 10 09:45:11 CEST 2025","","Login Functionality","Login with empty username",""
"","14625","Add and remove single product from cart","","Tue Jun 10 09:45:15 CEST 2025","passed","Tue Jun 10 09:45:30 CEST 2025","","Product Listing and Cart Functionality","Add and remove single product from cart",""
"","12700","The correct products are listed in the order summary","","Tue Jun 10 09:44:02 CEST 2025","passed","Tue Jun 10 09:44:14 CEST 2025","","Checkout Overview - Order Summary Validations","The correct products are listed in the order summary",""
"","12856","The payment information should be correct","","Tue Jun 10 09:44:14 CEST 2025","passed","Tue Jun 10 09:44:27 CEST 2025","","Checkout Overview - Order Summary Validations","The payment information should be correct",""
"","15140","The checkout overview calculations should be correct for various carts","","Tue Jun 10 09:43:31 CEST 2025","passed","Tue Jun 10 09:43:46 CEST 2025","","Checkout Overview - Order Summary Validations","The checkout overview calculations should be correct for various carts",""
"","8333","User can add a product to the cart and see correct details","","Tue Jun 10 09:42:38 CEST 2025","passed","Tue Jun 10 09:42:47 CEST 2025","","Cart Functionality","User can add a product to the cart and see correct details",""
"","14615","Add and remove single product from cart","","Tue Jun 10 09:45:44 CEST 2025","passed","Tue Jun 10 09:45:59 CEST 2025","","Product Listing and Cart Functionality","Add and remove single product from cart",""
"","5522","Login with locked out user","","Tue Jun 10 09:44:58 CEST 2025","passed","Tue Jun 10 09:45:04 CEST 2025","","Login Functionality","Login with locked out user",""
"","12707","The shipping information should be correct","","Tue Jun 10 09:44:27 CEST 2025","passed","Tue Jun 10 09:44:40 CEST 2025","","Checkout Overview - Order Summary Validations","The shipping information should be correct",""
"","3725","Login with wrong username and password","","Tue Jun 10 09:45:04 CEST 2025","passed","Tue Jun 10 09:45:08 CEST 2025","","Login Functionality","Login with wrong username and password",""
"","3755","Login with empty password","","Tue Jun 10 09:45:11 CEST 2025","passed","Tue Jun 10 09:45:15 CEST 2025","","Login Functionality","Login with empty password",""
"","3712","Login with standard user","","Tue Jun 10 09:44:55 CEST 2025","passed","Tue Jun 10 09:44:58 CEST 2025","","Login Functionality","Login with standard user",""
"","14837","User should be able to complete the order","","Tue Jun 10 09:44:40 CEST 2025","passed","Tue Jun 10 09:44:55 CEST 2025","","Checkout Overview - Order Summary Validations","User should be able to complete the order",""
